,client_list,iter_list,train_losses,train_ce_losses,test_losses,test_accuracy_list
0,5,0,1.9667350158691406,1.5632345069885254,1.4742818416595458,46.65
1,2,0,1.2889403213500976,1.2789625045776367,1.2751324115753173,54.25
2,7,0,1.062997607421875,1.0585812767028808,1.0628560182571412,62.59
3,1,0,0.9432456558227539,0.9388148761749268,0.9969346858978272,65.29
4,8,0,0.8314420707702637,0.8277493499755859,0.913133620262146,68.23
5,4,0,0.7865108806610107,0.7821645442962647,0.946951396560669,68.78
6,3,0,0.7567998867034912,0.7531161617279053,0.8864743167877197,69.98
7,6,0,0.7220860683441163,0.717475072479248,0.8019966421127319,73.16
8,0,0,0.674281974029541,0.6706149490356446,0.8069818910598755,73.05
9,9,0,0.6689059982299804,0.6652072704315185,0.7800325922012329,73.23
10,6,1,0.5629729764938355,0.557914786529541,0.7417544854164123,75.85
11,0,1,0.5402286056518555,0.5352859048843384,0.7490298725128174,75.47
12,9,1,0.528854275894165,0.5245403806686402,0.7504600630760193,75.71
13,1,1,0.5728665006637573,0.5674097820281983,0.7357995524406433,75.35
14,2,1,0.5842744649887085,0.576588494682312,0.7044546117782593,76.16
15,8,1,0.5333269100189209,0.5279662088394165,0.7124926044464112,77.02
16,4,1,0.49951692752838134,0.49518855800628664,0.6677972348213196,78.36
17,5,1,0.5459489028930664,0.534902851676941,0.6535346847534179,78.19
18,7,1,0.5353051357269287,0.5292667051315307,0.6841042737960815,78.16
19,3,1,0.5272348882675171,0.5228637813568116,0.6518358481407166,78.29
20,6,2,0.48751556186676026,0.48282941761016845,0.6511713974952698,79.91
21,1,2,0.44319789085388184,0.43886687984466555,0.642620565700531,79.62
22,5,2,0.46632664012908936,0.4571924976348877,0.6175943922996521,80.04
23,9,2,0.46094250736236575,0.4562461334228516,0.6320229851722717,79.81
24,8,2,0.4515553131103516,0.4471717372894287,0.635611888885498,79.89
25,3,2,0.4254241611480713,0.4205278778076172,0.6667161325454712,78.43
26,7,2,0.43818042545318603,0.432974223613739,0.6890086626052856,78.45
27,0,2,0.4342454563140869,0.4309069999694824,0.6422885038375854,80.01
28,2,2,0.4588897106170654,0.4530779277801514,0.5937616709709167,80.27
29,4,2,0.42290255012512207,0.41890902633666993,0.6049001297950745,81.05
30,2,3,0.3657586925506592,0.36043827214241025,0.6651629732131958,80.46
31,6,3,0.4216812557220459,0.41759857549667356,0.6234653429985046,80.48
32,5,3,0.39516407403945925,0.3875670557975769,0.5993928708553314,81.83
33,1,3,0.387191791343689,0.3830368332862854,0.6386985475540161,80.54
34,3,3,0.3814203976631165,0.37762597827911376,0.6131905170440674,81.23
35,7,3,0.39219631519317627,0.3881908881187439,0.6017273609161377,81.54
36,8,3,0.3762779859542847,0.3725323414802551,0.6200506725788116,81.34
37,0,3,0.3859258943557739,0.3823570068359375,0.6540766353607178,80.0
