,client_list,iter_list,train_losses,train_ce_losses,test_losses,test_accuracy_list
0,17,0,96.29321357258205,1.2775690062751983,3.4161963340759276,22.32
1,18,0,10.32011196215663,1.1343778188346365,5.395761657714844,20.68
2,3,0,8.524319149697911,0.8313851712966893,3.5819253189086915,20.69
3,4,0,11.149522683825404,1.4378909276022096,2.7755710678100587,18.56
4,8,0,9.358159885459878,1.066619380671041,3.368716259765625,24.27
5,5,0,10.471280178641031,0.9231050909211992,3.9712872604370117,20.77
6,13,0,12.296096934442934,1.482100714807925,2.6878343299865723,19.66
7,9,0,9.216805833166585,0.9249548506365056,3.395737211608887,22.79
8,15,0,8.82750465674437,0.9118875694325509,4.449139288330078,17.3
9,1,0,9.48159773116191,1.3013004662589533,3.4052524658203125,26.79
10,16,0,9.165517559933399,0.9779267076048452,4.224891702270508,22.04
11,14,0,8.973127057867947,0.6689391554447642,3.137685401916504,29.4
12,2,0,8.495815602364551,0.342728555611402,6.95099873046875,15.83
13,11,0,9.535192066914327,0.8694778970769934,2.9217591064453123,26.38
14,19,0,8.357595664351734,0.6254112324607906,3.8580786651611327,20.39
15,10,0,8.512309573417486,0.3721076082871404,4.130844927978516,18.87
16,12,0,8.539429631065484,0.6655236208637503,3.4667416473388672,25.08
17,7,0,9.225556198431521,0.46559256506383245,3.3560550170898438,26.55
18,6,0,8.251618196410645,0.27589526350610705,6.050351751708984,24.66
19,0,0,8.675123986801013,0.6595047927293621,3.673564517211914,27.1
20,7,1,8.885877425747085,0.40800514860681475,3.1247859016418458,33.66
21,10,1,8.30099527225938,0.28933226187215294,3.2903809593200686,25.25
22,16,1,8.892762781419416,0.8957251984971965,3.6816830757141115,26.52
23,14,1,8.6706407537871,0.5262860187122886,3.114041916656494,37.67
24,0,1,8.40444248771908,0.5449459372372525,3.4238234939575194,29.88
25,9,1,8.82474813822383,0.6870582801462016,2.971251145935059,32.21
26,4,1,9.924978362074096,0.956525265067913,1.9721055961608887,38.16
27,5,1,9.511351446784758,0.5477114665016952,2.896352680969238,34.89
28,11,1,9.028342540844067,0.6458136378107844,2.592037222290039,32.02
29,17,1,8.862383069938787,0.5727108257442879,2.803679850769043,37.46
30,6,1,7.966067536612632,0.20370655903909024,5.237961763000488,25.95
31,1,1,8.924808015664713,0.8983210540743279,2.8484491676330568,35.73
32,12,1,8.144589444059317,0.4796055014629712,3.0025226539611816,32.19
33,15,1,8.558848109034018,0.7941247593916896,3.275368955230713,24.74
34,13,1,10.766129933232847,0.9391821239305579,2.0016008476257325,42.87
35,19,1,8.063950083149013,0.4818171365047569,2.8492319915771485,34.87
36,8,1,8.748369768303617,0.5750562752880415,2.5638064041137696,40.41
37,2,1,8.09969159599536,0.14644851302134762,5.029311608886719,22.1
38,3,1,8.0602496875793,0.46649315398776336,2.318562247467041,40.12
39,18,1,8.51129554524623,0.6777605392630816,3.3468490364074706,31.09
40,2,2,7.921248397652676,0.1182748294663328,4.456656088256836,22.48
41,19,2,7.905345674770982,0.41576821390372604,3.1388743698120116,34.58
42,4,2,9.288197547489204,0.7523562895200976,1.82016637840271,45.58
43,3,2,7.8912148194350635,0.40446892176432914,2.3560910873413086,41.78
44,1,2,8.660940986111513,0.7027574733973871,2.0937056091308595,45.43
45,13,2,10.04479920760445,0.6718775448591813,1.8558613510131836,48.14
46,16,2,8.483276717025996,0.6013464586945222,2.6645930084228517,35.19
47,18,2,8.323192730236668,0.5598448109609704,3.9192240432739256,32.48
48,14,2,8.358238986804725,0.3286134834494887,2.426408874511719,46.59
49,8,2,8.447458870455725,0.45627303511464373,2.156360530090332,44.82
50,7,2,8.525497859142959,0.20281412545863114,2.6774642333984375,43.49
51,17,2,8.75040248252826,0.3398550382539547,2.5872174713134766,44.6
52,0,2,8.150571902492759,0.33007059166440444,2.8102901908874514,37.9
53,5,2,9.0055703516896,0.3418330897995293,2.1294939472198484,48.83
54,10,2,8.070424534553705,0.16039094337543777,3.0703544128417968,39.04
55,15,2,8.32340633790099,0.6244861742456385,3.0083312591552733,30.69
56,12,2,7.95928797687812,0.31745019005707603,3.0710149299621583,36.8
57,6,2,7.797878898960278,0.12594338468919275,5.19283957824707,27.67
58,11,2,8.576878583753432,0.3765772371678739,1.8833912281036378,48.1
59,9,2,8.342043503249409,0.42326130049265837,2.2277882385253904,44.58
60,16,3,8.325529175037913,0.4819982577518147,2.44540424118042,41.71
61,11,3,8.455394724253061,0.3407381044851767,2.154237147140503,48.07
62,18,3,8.247636220245251,0.46919214546296456,3.5093527458190916,37.65
63,8,3,8.375526010299005,0.38966338971003395,2.0015625480651855,47.84
64,5,3,8.80996958966369,0.30035624948861545,2.2407463600158692,50.05
65,14,3,8.168106553657204,0.23723327970961064,2.3247978759765626,48.9
66,15,3,8.189297784130718,0.5427212966914897,2.730115588378906,37.81
67,10,3,7.977314117342927,0.1237434285021452,2.6546911026000974,45.82
68,1,3,8.449231442153565,0.5311896337378708,1.847570802307129,51.07
69,6,3,7.753503574177095,0.11093046079791727,5.798371876525879,27.33
70,7,3,8.395706199000946,0.15335502673168572,2.7075580993652344,43.93
71,13,3,9.795380368440048,0.534782247957976,1.823023098373413,51.27
72,9,3,8.281756754919787,0.34893920278230595,2.232690885925293,47.9
73,19,3,7.776410230949743,0.30011318512816926,2.432086895751953,43.26
74,3,3,7.770499379531791,0.26526418613709896,1.6298498825073242,55.29
75,4,3,9.053024673877006,0.5132274897495473,1.5149864952087402,56.98
76,0,3,8.028307141451938,0.2531386080936706,2.6747487510681154,43.22
77,12,3,7.856450566915065,0.2456952174861921,2.1942232578277587,47.61
78,17,3,8.71383193884482,0.24514195239743708,2.2833179443359377,50.62
79,2,3,7.846825446073076,0.06811172233536056,4.750702867126465,22.55
80,2,4,7.7514476857127725,0.046356599749945535,4.993623992919922,23.23
81,3,4,7.739202185522152,0.23503081349276517,1.7982583324432373,53.53
82,13,4,9.628022567085598,0.44201861412628835,1.485084139251709,60.5
83,10,4,7.924736045127691,0.10251964689340702,2.2276667991638184,47.72
84,11,4,8.415853799355997,0.2730854627248403,1.7435228984832765,54.56
85,16,4,8.267380442927255,0.39851067819620845,2.0469074230194093,49.52
86,7,4,8.320269815428263,0.1336879118538459,2.2626606307983397,50.53
87,18,4,8.164487856494246,0.3926042041013987,3.480850384521484,39.05
88,15,4,8.070587984096722,0.4830468955360062,3.2859154830932615,38.25
89,12,4,7.807711968753616,0.20581892601745655,2.0350790901184084,49.4
90,0,4,7.9313409812513544,0.21495479803818923,2.692771365356445,44.41
91,19,4,7.731365004582192,0.2543281864430477,2.1583145275115965,49.47
92,5,4,8.705272384941448,0.20969135926757615,2.110416540145874,51.72
93,8,4,8.292580880245557,0.31843428991165984,1.8317662708282472,50.56
94,1,4,8.32807063245509,0.39810404283943107,2.012880467224121,54.46
95,17,4,8.669653269165721,0.2034089402113547,2.128489722061157,51.98
96,6,4,7.694092496558209,0.0730414941640766,4.944987231445313,29.74
97,14,4,8.142416788250255,0.1846563375927805,2.2459314735412597,51.49
98,4,4,8.977861904605039,0.4751283222235845,1.3165216480255126,59.89
99,9,4,8.18504937730547,0.2816075679719581,2.0960261375427245,52.99
100,7,5,8.23971877918299,0.08411825276672319,2.1685552291870116,52.2
101,1,5,8.257012883043554,0.3444615293562743,1.6149580764770508,61.0
102,9,5,8.091033119932314,0.23401844241305822,2.2119222354888914,51.86
103,17,5,8.662607928228113,0.172361435503933,2.290537055969238,53.0
104,18,5,8.10815700566504,0.3321939835654213,2.9522846687316893,41.52
105,13,5,9.501981984014096,0.3663856039876523,1.7954248237609862,55.97
106,19,5,7.677088701902931,0.2129826805373626,2.020860978317261,49.84
107,8,5,8.215901176150634,0.2691120580881417,1.6289570140838623,54.95
108,10,5,7.8977509099383685,0.08398481163867684,2.253621728515625,49.63
109,3,5,7.674385181952696,0.19088109074272117,1.7459551216125488,56.28
110,5,5,8.586223147179195,0.16443216386948128,2.0063713905334475,54.36
111,16,5,8.195841898934551,0.3225125262515892,1.9456878936767579,49.59
112,11,5,8.348924193511138,0.20526920057631828,1.8618178577423097,57.14
