,model1_fc1,model1_fc2,model2_fc1,model2_fc2,model2_wa1,model2_wa2
0,32405.98046875,362.5400390625,32405.98046875,362.5400390625,,
1,32557.001953125,372.08709716796875,32569.765625,370.258056640625,,
2,32758.3984375,381.16253662109375,32808.125,379.94659423828125,,
3,32922.3515625,385.30377197265625,33010.9765625,386.24151611328125,,
4,33031.6015625,387.93524169921875,33162.09375,390.8287658691406,,
5,33218.01171875,395.2113037109375,33393.92578125,399.46844482421875,,
6,33218.01171875,395.2113037109375,33393.92578125,399.46844482421875,33825.421875,417.05242919921875
7,33266.33984375,397.26239013671875,33044.6484375,403.2139892578125,33185.0625,403.39727783203125
8,33351.8046875,400.1712646484375,33041.70703125,411.0317687988281,33042.65625,410.00946044921875
9,33469.8203125,405.14764404296875,33046.6875,421.4056091308594,33046.796875,420.5478515625
10,33595.0625,409.37176513671875,33054.1328125,427.5052490234375,33053.875,427.16485595703125
11,33825.421875,417.05242919921875,33063.1171875,434.8810729980469,33063.4921875,434.7199401855469
12,33063.4921875,434.7199401855469,33063.1171875,434.8810729980469,34590.1484375,473.25152587890625
13,33488.02734375,444.461669921875,33524.265625,440.922607421875,33534.87890625,450.4932556152344
14,33996.953125,458.76373291015625,33505.62890625,447.37310791015625,33532.28515625,446.485595703125
15,34280.31640625,465.8050537109375,33527.953125,453.056640625,33528.3046875,452.7144775390625
16,34413.046875,468.92987060546875,33533.9140625,456.0255126953125,33533.30078125,455.9872131347656
17,34590.1484375,473.25152587890625,33541.1953125,460.2655029296875,33541.08984375,460.2776794433594
18,33541.08984375,460.2776794433594,33541.1953125,460.2655029296875,34876.0703125,499.095458984375
19,33936.515625,473.03167724609375,34011.8046875,466.1611022949219,33991.33203125,480.6878356933594
20,34361.59375,486.81866455078125,33992.70703125,474.34161376953125,34006.6171875,475.48638916015625
21,34602.46875,492.7991638183594,34010.2265625,480.5235900878906,34010.55859375,480.457763671875
22,34731.484375,495.7112121582031,34017.0625,484.0830078125,34016.3203125,483.978759765625
23,34876.0703125,499.095458984375,34024.33203125,488.47174072265625,34024.5234375,488.37841796875
24,34024.5234375,488.37841796875,34024.33203125,488.47174072265625,35095.50390625,523.3695068359375
25,34339.58984375,500.1903991699219,34435.8203125,494.4566955566406,34409.625,507.61737060546875
26,34667.53515625,512.440673828125,34422.78515625,501.08135986328125,34429.07421875,503.005615234375
27,34850.1875,517.5115966796875,34435.734375,506.73681640625,34435.4453125,506.558349609375
28,34954.0546875,519.7837524414062,34442.09375,510.2242431640625,34441.4921875,510.06951904296875
29,35095.50390625,523.3695068359375,34448.57421875,514.262939453125,34449.04296875,514.2183837890625
30,34449.04296875,514.2183837890625,34448.57421875,514.262939453125,35375.42578125,546.4755859375
31,34728.03125,525.607421875,34824.95703125,520.7698974609375,34791.98046875,532.740966796875
32,35011.8125,536.6722412109375,34810.62109375,526.582763671875,34814.53125,528.4102172851562
33,35165.1953125,541.39501953125,34821.015625,531.04541015625,34821.4296875,530.884521484375
34,35247.18359375,543.53857421875,34826.328125,533.833984375,34826.33203125,533.71240234375
35,35375.42578125,546.4755859375,34832.5390625,537.4228515625,34832.84375,537.4168701171875
36,34832.84375,537.4168701171875,34832.5390625,537.4228515625,35709.953125,569.3323364257812
37,35070.7890625,548.9212646484375,35190.09375,544.0186157226562,35167.359375,555.310302734375
38,35336.23046875,559.9378662109375,35181.609375,548.63134765625,35182.36328125,550.6709594726562
39,35483.19140625,564.0625,35189.671875,552.610107421875,35189.796875,552.4006958007812
40,35574.3828125,566.049072265625,35194.34765625,554.908203125,35194.58203125,554.8804321289062
41,35709.953125,569.3323364257812,35200.1953125,557.9379272460938,35200.125,557.9454345703125
42,35200.125,557.9454345703125,35200.1953125,557.9379272460938,36071.26171875,590.5216674804688
43,35438.24609375,570.274658203125,35556.2890625,564.546142578125,35539.40234375,575.9999389648438
44,35697.8515625,581.48046875,35551.62109375,568.6613159179688,35547.5625,571.464111328125
45,35851.44921875,585.2030639648438,35556.33203125,572.3251953125,35556.7734375,572.357666015625
46,35945.1953125,587.220703125,35561.015625,574.6219482421875,35561.05859375,574.5616455078125
47,36071.26171875,590.5216674804688,35566.3046875,577.249755859375,35566.2890625,577.3076171875
48,35566.2890625,577.3076171875,35566.3046875,577.249755859375,36425.6953125,609.0916748046875
49,35814.640625,589.3344116210938,35921.3046875,583.4193115234375,35907.796875,595.0787963867188
50,36080.1796875,600.37646484375,35915.1328125,587.4697875976562,35915.15625,589.925537109375
51,36220.9140625,604.5635986328125,35921.5625,590.70068359375,35921.109375,590.7572021484375
52,36315.765625,606.138916015625,35925.640625,592.6848754882812,35925.421875,592.66650390625
53,36425.6953125,609.0916748046875,35930.484375,595.2861938476562,35931.0,595.2583618164062
54,35931.0,595.2583618164062,35930.484375,595.2861938476562,36785.125,625.2076416015625
55,36195.3515625,606.7769775390625,36280.859375,601.2708740234375,36275.9375,611.9498291015625
56,36453.46875,616.8291015625,36278.3984375,605.139404296875,36277.6484375,607.8104248046875
57,36598.53125,620.6678466796875,36283.27734375,608.21484375,36283.37890625,608.107421875
58,36678.578125,622.542724609375,36286.6171875,609.837646484375,36287.13671875,609.8046875
59,36785.125,625.2076416015625,36290.74609375,611.9673461914062,36291.71484375,611.977783203125
60,36291.71484375,611.977783203125,36290.74609375,611.9673461914062,37098.3203125,640.6971435546875
61,36526.78125,622.82373046875,36621.953125,617.5665283203125,36618.5,627.7168579101562
62,36760.984375,632.8560791015625,36621.50390625,620.8416748046875,36619.484375,623.389892578125
63,36891.37890625,636.4904174804688,36625.44921875,623.66943359375,36625.46875,623.5579833984375
64,36975.4453125,638.0615844726562,36628.4921875,625.1627197265625,36629.17578125,625.130126953125
65,37098.3203125,640.6971435546875,36632.9296875,627.1110229492188,36633.11328125,627.142333984375
66,36633.11328125,627.142333984375,36632.9296875,627.1110229492188,37450.3046875,655.39208984375
67,36876.640625,638.2545166015625,36966.98046875,632.7511596679688,36963.94140625,642.48095703125
68,37119.8046875,647.9119262695312,36966.1640625,635.5435791015625,36962.0703125,638.81201171875
69,37248.234375,651.2407836914062,36968.796875,638.19970703125,36968.58203125,638.3302001953125
70,37322.48828125,652.6409912109375,36971.75,639.5413818359375,36971.9140625,639.5861206054688
71,37450.3046875,655.39208984375,36975.71875,641.4109497070312,36975.921875,641.43310546875
72,36975.921875,641.43310546875,36975.71875,641.4109497070312,37743.02734375,668.9876708984375
73,37208.078125,652.2938232421875,37293.5234375,646.4971923828125,37282.578125,656.332763671875
74,37435.22265625,661.742431640625,37290.171875,649.2080078125,37284.56640625,652.2626342773438
75,37562.640625,665.1239624023438,37291.6875,651.7227172851562,37291.33984375,651.4125366210938
76,37634.1796875,666.6142578125,37293.9765625,652.8228759765625,37294.62890625,652.8294067382812
77,37743.02734375,668.9876708984375,37297.9296875,654.3665771484375,37297.81640625,654.3805541992188
