,model1_fc1,model1_fc2,model2_fc1,model2_fc2,model2_wa1,model2_wa2,model1_wa1,model1_wa2,train_epoch
0,32405.98046875,362.5400390625,32405.98046875,362.5400390625,,,,,1
1,32557.001953125,372.08709716796875,32569.765625,370.258056640625,,,,,1
2,32758.3984375,381.16253662109375,32808.125,379.94659423828125,,,,,1
3,32922.3515625,385.30377197265625,33010.9765625,386.24151611328125,,,,,1
4,33031.6015625,387.93524169921875,33162.09375,390.8287658691406,,,,,1
5,33218.01171875,395.2113037109375,33393.92578125,399.46844482421875,,,,,1
6,33218.01171875,395.2113037109375,32864.3203125,396.9393005371094,32864.09375,396.982666015625,33393.92578125,399.46844482421875,2
7,32888.484375,387.92901611328125,32863.34375,397.28240966796875,32863.9296875,397.08349609375,32920.14453125,392.5968933105469,2
8,32865.3125,391.22430419921875,32864.8671875,399.66119384765625,32864.890625,399.58612060546875,32860.7421875,390.75872802734375,2
9,32861.2734375,393.225341796875,32866.515625,401.8762512207031,32866.5078125,401.8580017089844,32861.140625,393.2901306152344,2
10,32862.24609375,394.82000732421875,32867.87890625,403.4097900390625,32867.828125,403.4093322753906,32862.4453125,394.784912109375,2
11,32864.09375,396.982666015625,32869.7890625,405.5269775390625,32869.68359375,405.53326416015625,32864.3203125,396.9393005371094,2
12,32869.68359375,405.53326416015625,32872.84375,411.02685546875,32872.52734375,411.04833984375,32869.7890625,405.5269775390625,3
13,32868.42578125,405.3765563964844,32872.015625,411.34259033203125,32872.44140625,411.1720275878906,32869.1328125,405.3254089355469,3
14,32870.15625,407.23956298828125,32873.3203125,413.240234375,32873.109375,413.2194519042969,32869.01171875,407.1162414550781,3
15,32870.5703125,408.69708251953125,32874.5546875,415.0407409667969,32874.45703125,415.0623779296875,32870.640625,408.7197265625,3
16,32871.328125,409.6564025878906,32875.7578125,416.2893981933594,32875.5234375,416.27313232421875,32871.48046875,409.6455993652344,3
17,32872.52734375,411.04833984375,32877.2890625,418.02825927734375,32877.27734375,418.0035400390625,32872.84375,411.02685546875,3
18,32877.27734375,418.0035400390625,32880.4453125,422.86248779296875,32880.328125,422.8729248046875,32877.2890625,418.02825927734375,4
19,32876.4140625,418.28314208984375,32879.953125,423.507568359375,32880.734375,423.4640197753906,32877.515625,418.1962585449219,4
20,32878.1171875,419.7111511230469,32881.1796875,425.0921936035156,32881.3046875,425.0855712890625,32877.2890625,419.6409606933594,4
