,model1_fc1,model1_fc2,model2_fc1,model2_fc2,model2_wa1,model2_wa2,train_epoch
0,32405.98046875,362.5400390625,32405.98046875,362.5400390625,,,1
1,32557.001953125,372.08709716796875,32569.765625,370.258056640625,,,1
2,32758.3984375,381.16253662109375,32808.125,379.94659423828125,,,1
3,32922.3515625,385.30377197265625,33010.9765625,386.24151611328125,,,1
4,33031.6015625,387.93524169921875,33162.09375,390.8287658691406,,,1
5,33218.01171875,395.2113037109375,33393.92578125,399.46844482421875,,,1
6,33218.01171875,395.2113037109375,33393.92578125,399.46844482421875,33825.421875,417.05242919921875,2
7,33266.33984375,397.26239013671875,33043.7109375,397.766357421875,33184.78515625,402.8704833984375,2
8,33351.8046875,400.1712646484375,33033.4375,398.46002197265625,33035.6015625,400.72137451171875,2
9,33469.8203125,405.14764404296875,33027.3046875,399.6452331542969,33027.0546875,399.4949645996094,2
10,33595.0625,409.37176513671875,33026.9375,399.7055358886719,33027.078125,399.66046142578125,2
11,33825.421875,417.05242919921875,33027.1640625,399.87371826171875,33027.12890625,399.9074401855469,2
12,33027.12890625,399.9074401855469,33027.1640625,399.87371826171875,34037.703125,442.5098876953125,3
13,33214.234375,411.672119140625,33454.0625,417.43951416015625,33375.453125,417.3382568359375,3
14,33452.48828125,423.9328918457031,33409.53515625,416.30145263671875,33406.65625,416.5799560546875,3
15,33670.64453125,431.48779296875,33405.5703125,415.0547790527344,33406.98046875,415.07135009765625,3
16,33826.97265625,435.79144287109375,33405.625,413.9988098144531,33404.9765625,413.9971618652344,3
17,34037.703125,442.5098876953125,33404.49609375,412.80926513671875,33404.03125,412.8565979003906,3
18,33404.03125,412.8565979003906,33404.49609375,412.80926513671875,34181.7890625,445.3056945800781,4
19,33474.34375,417.3571472167969,33767.25,428.271484375,33712.734375,428.1573181152344,4
20,33596.453125,424.08843994140625,33739.0625,427.67138671875,33735.3515625,427.6802978515625,4
21,33781.96875,432.068603515625,33736.1484375,426.9769592285156,33736.4921875,426.96514892578125,4
22,33944.390625,437.79864501953125,33736.671875,426.52410888671875,33735.0859375,426.4847412109375,4
23,34181.7890625,445.3056945800781,33735.87109375,426.126708984375,33735.14453125,426.18475341796875,4
24,33735.14453125,426.18475341796875,33735.87109375,426.126708984375,34433.16015625,461.19525146484375,5
25,33810.35546875,433.1663818359375,34069.375,442.984130859375,34025.140625,442.31915283203125,5
26,33920.7734375,441.3441162109375,34048.7890625,442.1907958984375,34042.12890625,442.2870178222656,5
