,model1_fc1,model2_fc1,model2_wa1
0,32405.98047,,
1,32557.00195,,
2,32758.39844,,
3,32922.35156,,
4,33031.60156,,
5,33218.01172,32405.98047,
6,33218.01172,32569.76563,
7,33266.33984,32808.125,
8,33351.80469,33010.97656,
9,33469.82031,33162.09375,
10,33595.0625,33393.92578,
11,33825.42188,33393.92578,33825.42188
12,33028.71875,33043.71875,33184.80078
13,33272.05469,33033.63281,33035.76563
14,33562.46484,33027.92969,33027.64063
15,33795.27344,33027.99219,33028.00781
16,33944.75781,33028.59375,33028.71875
17,34146.01953,33028.59375,34146.01953
18,33425.63672,33485.6875,33393.44141
19,33578.22656,33427.39063,33430.97266
20,33764.07813,33424.97656,33425.80469
21,33965.14063,33425.26172,33424.85547
22,34111.43359,33425.76563,33425.63672
23,34304.18359,33425.76563,34304.18359
24,33781.4375,33821.36719,33752.0625
25,33922.71094,33782.47266,33781.76563
26,34078.69531,33780.27344,33781.25781
27,34237.05469,33781.33594,33780.63281
28,34366.91406,33781.71875,33781.4375
29,34556.89844,33781.71875,34556.89844
30,34110.77344,34145.60156,34082.39063
31,34266.17578,34112.63281,34108.85938
32,34436.75781,34109.67188,34110.11719
33,34589.0625,34110.61719,34109.71094
34,34700.27344,34110.75391,34110.77344
35,34884.35156,34110.75391,34884.35156
36,34445.4375,34479.14063,34416.30859
37,34570.00781,34446.52344,34443.52344
38,34717.48438,34444.40625,34444.375
39,34862.48047,34444.80469,34444.57031
40,34973.40625,34445.14844,34445.4375
41,35148.17969,34445.14844,35148.17969
42,34752.14844,34778.36328,34729.97266
43,34854.46094,34753.19531,34750.18359
44,34971.19141,34750.91016,34751.17188
45,35129.28125,34751.16406,34751.40625
46,35246.05469,34751.52344,34752.14844
47,35409.58984,34751.52344,35409.58984
48,35045.16406,35067.14844,35025.61719
49,35153.83594,35046.60156,35042.25781
50,35284.71484,35044.21875,35043.86719
51,35413.03125,35044.46875,35044.15625
52,35533.75,35044.53906,35045.16406
53,35685.58594,35044.53906,35685.58594
54,35332.12891,35353.50781,35312.89844
55,35483.72656,35334.32031,35328.59375
56,35630.66406,35331.09375,35331.125
57,35763.97656,35331.57422,35331.16406
58,35857.49219,35331.67188,35332.12891
59,36003.63672,35331.67188,36003.63672
60,35632.96875,35652.11719,35615.83594
61,35753.17188,35633.62891,35630.67969
62,35891.25781,35631.61719,35631.78125
63,36011.54688,35631.97656,35631.85156
64,36098.79688,35631.86719,35632.96875
65,36260.6875,35631.86719,36260.6875
66,35914.96875,35930.44141,35901.27344
67,36029.55469,35916.99219,35911.25391
68,36153.25,35913.97656,35913.53125
69,36268.29688,35913.94141,35913.96094
70,36338.89063,35913.85938,35914.96875
71,36485.28125,35913.85938,36485.28125
72,36173.67188,36187.10938,36161.4375
73,36280.50781,36175.69531,36169.84375
74,36419.21094,36172.28125,36172.70313
75,36545.20313,36172.75391,36172.68359
76,36633.92188,36172.65625,36173.67188
77,36750.21094,36172.65625,36750.21094
78,36433.13281,36447.86719,36420.24609
79,36540.89844,36435.08594,36429.86328
80,36660.44531,36432.09375,36432.15625
81,36782.70703,36432.27344,36432.34375
82,36882.06641,36432.33203,36433.13281
83,37014.65625,36432.33203,37014.65625
84,36693.77344,36708.91797,36680.83594
85,36818.54688,36696.02734,36690.08203
86,36960.16797,36692.96094,36692.39844
87,37072.01953,36692.63281,36693.07813
88,37158.03906,36692.6875,36693.77344
89,37270.98438,36692.6875,37270.98438
90,36952.22656,36964.92969,36941.45703
