,model1_fc1,model1_fc2,model2_fc1,model2_fc2,model2_wa1,model2_wa2,train_epoch
0,32405.98046875,362.5400390625,32405.98046875,362.5400390625,,,1
1,32557.001953125,372.08709716796875,32569.765625,370.258056640625,,,1
2,32758.3984375,381.16253662109375,32808.125,379.94659423828125,,,1
3,32922.3515625,385.30377197265625,33010.9765625,386.24151611328125,,,1
4,33031.6015625,387.93524169921875,33162.09375,390.8287658691406,,,1
5,33218.01171875,395.2113037109375,33393.92578125,399.46844482421875,,,1
6,33218.01171875,395.2113037109375,33393.92578125,399.46844482421875,33825.421875,417.05242919921875,2
7,33266.33984375,397.26239013671875,33043.76171875,397.9921569824219,33184.8515625,402.9132385253906,2
8,33351.8046875,400.1712646484375,33034.6484375,400.1653747558594,33036.6015625,402.16387939453125,2
9,33469.8203125,405.14764404296875,33030.44921875,403.7889099121094,33030.375,403.6155090332031,2
10,33595.0625,409.37176513671875,33031.796875,405.6468505859375,33031.890625,405.63739013671875,2
11,33825.421875,417.05242919921875,33034.09375,408.1529541015625,33033.96875,408.1607666015625,2
12,33033.96875,408.1607666015625,33034.09375,408.1529541015625,34328.8125,448.76812744140625,3
13,33359.78125,419.2420654296875,33515.140625,415.8149719238281,33440.859375,423.46282958984375,3
14,33737.484375,432.6749267578125,33455.69921875,415.80145263671875,33470.7890625,415.738525390625,3
15,33991.28125,439.858642578125,33462.1171875,418.6841125488281,33462.828125,418.820556640625,3
16,34134.6875,443.5115051269531,33464.0,420.466796875,33463.7890625,420.409912109375,3
17,34328.8125,448.76812744140625,33466.15625,422.58013916015625,33465.93359375,422.57562255859375,3
18,33465.93359375,422.57562255859375,33466.15625,422.58013916015625,34556.34375,465.49188232421875,4
19,33729.28125,437.4886779785156,33895.5078125,432.70611572265625,33844.69921875,442.4890441894531,4
20,34025.171875,451.4325866699219,33859.265625,434.6512451171875,33868.484375,436.1640930175781,4
21,34248.5078125,458.0970764160156,33864.484375,437.5572509765625,33865.328125,437.57672119140625,4
22,34389.56640625,461.4993896484375,33866.8046875,439.4560546875,33866.71875,439.45294189453125,4
23,34556.34375,465.49188232421875,33869.05078125,441.7493591308594,33869.34375,441.7463684082031,4
24,33869.34375,441.7463684082031,33869.05078125,441.7493591308594,34778.5234375,480.3368225097656,5
25,34081.0625,455.798828125,34249.14453125,452.4862060546875,34201.6328125,460.6759033203125,5
26,34310.5703125,467.7685546875,34219.2265625,454.08233642578125,34224.4453125,456.0173034667969,5
