nohup: ignoring input
/s/luffy/b/nobackup/mgorb/anaconda/envs/transformers/lib/python3.7/site-packages/torchvision/io/image.py:13: UserWarning: Failed to load image Python extension: /s/luffy/b/nobackup/mgorb/anaconda/envs/transformers/lib/python3.7/site-packages/torchvision/image.so: undefined symbol: _ZN3c106detail19maybe_wrap_dim_slowEllb
  warn(f"Failed to load image Python extension: {e}")
Using Device cuda:2
Files already downloaded and verified
2425024
conv1.weight
True
conv2.weight
True
conv3.weight
True
conv4.weight
True
fc1.weight
True
fc2.weight
True
fc3.weight
True
Epoch: 1, Train loss: 1.6924906969070435, Test loss: 1.3651418972015381, Test Acc: 50.56
Epoch: 2, Train loss: 1.2391959428787231, Test loss: 1.151947688484192, Test Acc: 59.14
Epoch: 3, Train loss: 1.0159133672714233, Test loss: 0.9901077323913574, Test Acc: 65.22
Epoch: 4, Train loss: 0.8790445923805237, Test loss: 0.8775603320121765, Test Acc: 69.72
Epoch: 5, Train loss: 0.7782790660858154, Test loss: 0.7989899291992187, Test Acc: 72.76
Epoch: 6, Train loss: 0.7077645659446716, Test loss: 0.7406920777320862, Test Acc: 75.49
Epoch: 7, Train loss: 0.6613566279411316, Test loss: 0.7084360244750977, Test Acc: 75.52
Epoch: 8, Train loss: 0.6151241064071655, Test loss: 0.6387446378707886, Test Acc: 78.22
Epoch: 9, Train loss: 0.5832928419113159, Test loss: 0.6238673516750336, Test Acc: 79.3
Epoch: 10, Train loss: 0.553682804107666, Test loss: 0.5862675670862197, Test Acc: 79.9
Epoch: 11, Train loss: 0.5249776244163513, Test loss: 0.6574227933883667, Test Acc: 77.48
Epoch: 12, Train loss: 0.5026930570602417, Test loss: 0.5494094393253326, Test Acc: 81.32
Epoch: 13, Train loss: 0.4875028729438782, Test loss: 0.5823392320156098, Test Acc: 80.24
Epoch: 14, Train loss: 0.4658280313014984, Test loss: 0.5440580728530884, Test Acc: 81.5
Epoch: 15, Train loss: 0.4400581121444702, Test loss: 0.544973658132553, Test Acc: 81.62
Epoch: 16, Train loss: 0.43640902638435364, Test loss: 0.518135430431366, Test Acc: 82.52
Epoch: 17, Train loss: 0.4163120687007904, Test loss: 0.5427782154560089, Test Acc: 81.84
Epoch: 18, Train loss: 0.40855374932289124, Test loss: 0.5112366208076478, Test Acc: 82.7
Epoch: 19, Train loss: 0.39104554057121277, Test loss: 0.5124813347339631, Test Acc: 82.98
Epoch: 20, Train loss: 0.3778782784938812, Test loss: 0.5162461933612823, Test Acc: 82.69
Epoch: 21, Train loss: 0.3671494722366333, Test loss: 0.5221189964771271, Test Acc: 83.4
Epoch: 22, Train loss: 0.3594163656234741, Test loss: 0.5138821443080902, Test Acc: 83.26
Epoch: 23, Train loss: 0.35672351717948914, Test loss: 0.5485486691474915, Test Acc: 81.77
Epoch: 24, Train loss: 0.3411567211151123, Test loss: 0.4849425804376602, Test Acc: 83.81
Epoch: 25, Train loss: 0.33306944370269775, Test loss: 0.517843055677414, Test Acc: 83.09
Epoch: 26, Train loss: 0.32504749298095703, Test loss: 0.531566540145874, Test Acc: 83.01
Epoch: 27, Train loss: 0.31365087628364563, Test loss: 0.5324276223659515, Test Acc: 83.21
Epoch: 28, Train loss: 0.30998843908309937, Test loss: 0.5074452578544617, Test Acc: 84.0
Epoch: 29, Train loss: 0.3049623966217041, Test loss: 0.46744474029541017, Test Acc: 84.93
Epoch: 30, Train loss: 0.3014764189720154, Test loss: 0.5271983564853668, Test Acc: 83.63
Epoch: 31, Train loss: 0.2956709861755371, Test loss: 0.5079385305404663, Test Acc: 84.23
Epoch: 32, Train loss: 0.2874926030635834, Test loss: 0.4982694473028183, Test Acc: 84.45
Epoch: 33, Train loss: 0.27759915590286255, Test loss: 0.5019520270347595, Test Acc: 84.74
Epoch: 34, Train loss: 0.2728186845779419, Test loss: 0.5078571793556214, Test Acc: 84.45
Epoch: 35, Train loss: 0.27310317754745483, Test loss: 0.4932195967435837, Test Acc: 84.83
Epoch: 36, Train loss: 0.2617456316947937, Test loss: 0.5266785089492798, Test Acc: 84.24
Epoch: 37, Train loss: 0.2563031017780304, Test loss: 0.49327211480140687, Test Acc: 85.22
Epoch: 38, Train loss: 0.25741490721702576, Test loss: 0.4891515805244446, Test Acc: 85.07
Epoch: 39, Train loss: 0.24924930930137634, Test loss: 0.5142315405845642, Test Acc: 84.57
Epoch: 40, Train loss: 0.24980711936950684, Test loss: 0.5164642395019531, Test Acc: 85.02
Epoch: 41, Train loss: 0.24332472681999207, Test loss: 0.5033471762657166, Test Acc: 85.08
Epoch: 42, Train loss: 0.24039806425571442, Test loss: 0.49177395009994507, Test Acc: 85.41
Epoch: 43, Train loss: 0.23481407761573792, Test loss: 0.49545398368835447, Test Acc: 85.04
Epoch: 44, Train loss: 0.23127180337905884, Test loss: 0.5069455147743225, Test Acc: 85.01
Epoch: 45, Train loss: 0.22599445283412933, Test loss: 0.4972348771095276, Test Acc: 85.1
Epoch: 46, Train loss: 0.22445206344127655, Test loss: 0.5256470230102539, Test Acc: 84.74
Epoch: 47, Train loss: 0.22526372969150543, Test loss: 0.48842394452095034, Test Acc: 85.91
Epoch: 48, Train loss: 0.21183103322982788, Test loss: 0.533336872959137, Test Acc: 85.09
Epoch: 49, Train loss: 0.21345286071300507, Test loss: 0.5425755284309387, Test Acc: 84.4
Epoch: 50, Train loss: 0.2177790403366089, Test loss: 0.5199718341827393, Test Acc: 85.04
Epoch: 51, Train loss: 0.21290868520736694, Test loss: 0.5593283224105835, Test Acc: 85.13
Epoch: 52, Train loss: 0.2126152068376541, Test loss: 0.5271457425117493, Test Acc: 85.21
Epoch: 53, Train loss: 0.2069000005722046, Test loss: 0.5160411021232605, Test Acc: 85.58
Epoch: 54, Train loss: 0.19825689494609833, Test loss: 0.5638906108140945, Test Acc: 85.2
